Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,Future,2023,900,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,35000000
Yamaha,Nozza,2013,2299,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5900000
Honda,Click,2019,200000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,60000000
Honda,Air Blade,2009,686868,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17500000
Honda,Vision,2017,2999,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22500000
Honda,Cub,1999,80000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,13600000
SYM,Shark,2010,23333,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8500000
Honda,Air Blade,2008,23456,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10900000
Piaggio,Liberty,2012,2200,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6500000
Suzuki,Dòng khác,2016,10000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,60000000
Suzuki,Dòng khác,2005,30000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,25000000
Honda,Air Blade,2013,123,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11900000
Yamaha,Luvias,2015,2500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3800000
Honda,Vision,2013,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15000000
Honda,Wave,2012,11111,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9000000
Piaggio,Vespa,2011,21000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13500000
Honda,Wave,2010,6969,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5500000
Honda,Dream,1999,10000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,13500000
