Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,SH,2019,31000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,46.800.000 đ
Honda,Air Blade,2017,29000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,20.800.000 đ
Honda,Citi,1998,2587,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4.750.000 đ
Yamaha,Nvx,2017,55000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.000.000 đ
Honda,Winner X,2019,28000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.500.000 đ
SYM,Attila,2012,1258,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,1.500.000 đ
Honda,SH Mode,2017,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,45.500.000 đ
Yamaha,Exciter,2021,3000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19.800.000 đ
Honda,Wave,2015,35956,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.000.000 đ
Yamaha,Nouvo,2008,14,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.700.000 đ
Yamaha,TFX,2020,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36.000.000 đ
Yamaha,Jupiter,2011,10000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.700.000 đ
Yamaha,R,2019,12345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.345.678 đ
SYM,Attila,2008,60000,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,5.000.000 đ
Honda,Click,2010,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.500.000 đ
